--Name--||--Phone Number--||--Email--||--Address--

test1||1234567890||test1.gmail.com||test1 address
test2||1234567891||test2.gmail.com||test2 address
test3||1234567892||test3.gmail.com||test3 address
test4||1234567893||test4.gmail.com||test4 address
test5||1234567894||test5.gmail.com||test5 address
test6||1234567895||test6.gmail.com||test6 address
test7||1234567896||test7.gmail.com||test7 address
test8||1234567897||test8.gmail.com||test8 address
test9||1234567898||test9.gmail.com||test9 address
test10||1234567899||test10.gmail.com||test10 address
